Year-Month,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID,H1,Environment and Climate Change Canada
1986-01,DEVLIN,48.517,-93.75,ON,,,NA,,,,,43,0,NA,43,0,NA,,4,,,NA,,,6022010,,
1986-01,DEVLIN BELLAMY,48.633,-93.667,ON,,,NA,,,,,13,2,NA,13,2,NA,53,6,,,NA,,,6022011,,
1986-01,DORCHESTER,43,-81.033,ON,,,NA,,,,,41,0,NA,55.8,0,NA,11,18,,,NA,,,6142066,,
1986-01,DORSET MOE,45.217,-78.933,ON,-10.9,0,-0.3,5.5,0,-35,0,61,0,83,81.4,0,87,46,18,,,NA,896.3,0,6112072,,
1986-01,DRESDEN,42.583,-82.183,ON,-6.1,2,-0.6,7.5,2,-25,1,24.6,0,93,36.4,0,71,9,11,,,NA,699.2,0,6132090,,
1986-01,DRUMMOND CENTRE,45.033,-76.25,ON,-9.8,0,-0.1,7,0,-29,0,27,0,62,44.3,0,65,13,10,,,NA,862.1,0,6102J13,,
1986-01,DRYDEN,49.783,-92.833,ON,-14.5,0,2.9,5,0,-37,0,17.4,0,64,17.6,0,65,,5,,,NA,1006.9,0,6032117,,
1986-01,DRYDEN A,49.833,-92.75,ON,-15,0,1.7,3.7,0,-36.1,0,21,0,70,21.6,0,82,30,5,,,NA,1024.5,0,6032119,,
1986-01,DUNCHURCH,45.617,-79.883,ON,-11.6,0,-0.5,5,0,-35,0,69.4,0,86,78.6,0,75,57,17,,,NA,917.4,0,6112133,,
1986-01,DUNNVILLE PUMPING STN,42.833,-79.617,ON,-4.6,0,NA,7,0,-23,0,18,0,NA,33.2,0,NA,,8,,,NA,699.4,0,6132148,,
1986-01,DURHAM,44.183,-80.817,ON,-7.1,9,0,7,6,-30,4,51,0,63,70.4,0,68,,14,,,NA,551.5,0,6112171,,
1986-01,DWIGHT,45.383,-78.9,ON,-11.7,0,0,4,0,-33.5,0,90.4,0,109,115.2,0,108,67,20,,,NA,920.6,0,6082178,,
1986-01,DYMOND ONT HYDRO,47.517,-79.683,ON,,,NA,,,,,22.8,0,NA,25.2,0,NA,,9,,,NA,,,6072183,,
1986-01,EAR FALLS,50.633,-93.217,ON,-15.1,0,NA,5.5,0,-35,0,24,3,NA,25.5,3,NA,,6,,,NA,1026.8,0,6012198,,
1986-01,EARLTON A,47.7,-79.85,ON,-16.2,0,0,4.5,0,-34.9,0,31.3,0,67,30.5,0,65,41,8,,,NA,1061.5,0,6072225,,
1986-01,ELLIOT LAKE STANLEIGH,46.417,-82.65,ON,-11.7,0,NA,3.5,0,-30,0,37.6,0,NA,37.6,0,NA,36,9,,,NA,920.1,0,6052268,,
1986-01,ELMIRA,43.6,-80.533,ON,,,NA,,,,,24.4,0,NA,34.6,0,NA,6,12,,,NA,,,6142275,,
1986-01,ELORA AUTOMATIC CLIMATE STATION,43.65,-80.417,ON,-7.2,0,NA,4.6,0,-27.4,0,19,0,NA,32.5,0,NA,5,11,,,NA,781.9,0,614B2H4,,
1986-01,EMBRO INNES,43.25,-80.933,ON,,,NA,,,,,22.6,0,NA,34.2,0,NA,,8,,,NA,,,6142295,,
1986-01,EMO HOSKINS,48.75,-93.85,ON,,,NA,,,,,33,0,NA,33,0,NA,,4,,,NA,,,602B300,,
1986-01,EMO RADBOURNE,48.683,-93.833,ON,-14.2,0,1.8,7.5,0,-41.5,0,39.6,0,123,39.6,0,122,,7,,,NA,998.8,0,602K300,,
1986-01,ENGLEHART,47.817,-79.9,ON,,,NA,,,,,35.6,0,NA,35.6,0,NA,,12,,,NA,,,6072325,,
1986-01,ESSA ONT HYDRO,44.35,-79.817,ON,-7.4,0,-0.1,7,0,-29,0,39.2,0,67,50.4,0,66,,14,,,NA,788.6,0,6112340,,
1986-01,EXETER,43.35,-81.5,ON,-6.1,0,-0.6,5.5,0,-24,0,63.5,0,112,78.1,0,94,,18,,,NA,747,0,6122370,,
1986-01,FENELON FALLS,44.583,-78.75,ON,,,NA,,,,,31,0,NA,49.6,0,NA,,11,,,NA,,,6162376,,
1986-01,FERGUS MOE,43.702,-80.379,ON,,,NA,,,,,28,0,NA,37.2,0,NA,,15,,,NA,,,6142402,,
1986-01,FERGUS SHAND DAM,43.733,-80.333,ON,-7.5,0,-0.2,5,0,-28,0,20.9,0,52,29.9,0,44,,10,,,NA,792,0,6142400,,
1986-01,FLINT,48.35,-89.683,ON,-14.2,0,0.6,7.5,0,-38,0,54,0,122,54,0,122,,9,,,NA,997.5,0,6042MJ7,,
1986-01,FOLDENS,43.017,-80.783,ON,-6,0,-0.2,6,0,-22.5,0,26.8,0,90,37.6,0,60,,11,,,NA,743.7,0,6142420,,
1986-01,FORT ALBANY,52.217,-81.667,ON,-21.8,5,NA,2,3,-39.5,3,3,7,NA,3,7,NA,,2,,,NA,1033.5,0,6072460,,
1986-01,FORT ERIE,42.883,-78.967,ON,-3.9,0,0.2,9.5,0,-23,0,14.2,0,32,45,0,57,,8,,,NA,679.7,0,6132470,,
1986-01,FORT FRANCES,48.617,-93.417,ON,-12.9,0,NA,7,0,-36,0,33.2,0,NA,33.8,0,NA,,4,,,NA,957.5,0,6022475,,
1986-01,FORT FRANCES A,48.65,-93.433,ON,-13.5,0,1.7,8,0,-39,0,36,0,104,36,0,104,50,5,,,NA,977.5,0,6022476,,
1986-01,FRANKFORD MOE,44.233,-77.6,ON,,,NA,,,,,22,0,NA,73,0,NA,,7,,,NA,,,6152555,,
1986-01,FRENCH R CHAUDIERE DAM,46.133,-80.017,ON,-12.6,0,NA,6,0,-32,0,35,0,NA,46.4,0,NA,,15,,,NA,949.3,0,6082612,,
1986-01,FRENCHMANS BAY,43.817,-79.083,ON,,,NA,,,,,12.8,0,NA,28.4,0,NA,2,9,,,NA,,,6152605,,
1986-01,GEORGETOWN WWTP,43.64,-79.879,ON,-6.6,1,-0.3,7,1,-28,0,12.8,0,34,25.8,0,38,,9,,,NA,739,0,6152695,,
1986-01,GERALDTON A,49.783,-86.931,ON,-18.6,0,0,1.8,0,-41.2,0,28,0,65,21.8,0,65,44,10,,,NA,1134.6,0,6042716,,
1986-01,GLEN ALLAN,43.683,-80.717,ON,-6.9,0,0.3,5,0,-27,0,23.2,0,46,35,0,47,27,13,,,NA,772.8,0,6142803,,
1986-01,GLEN GORDON,45.167,-74.533,ON,-9.3,0,1.3,6.5,0,-27,0,40.6,0,88,73.1,0,102,,12,,,NA,845.2,0,6102832,,
1986-01,GLEN HAFFY MONO MILLS,43.933,-79.95,ON,,,NA,,,,,23.4,0,NA,35.1,0,NA,,11,,,NA,,,6152833,,
1986-01,GLENBURNIE,44.333,-76.5,ON,-7.8,0,0.6,7,0,-30,0,13.5,0,34,38.1,0,50,,10,,,NA,800.6,0,6102808,,
1986-01,GODFREY,44.567,-76.633,ON,-8.6,0,-0.2,7,0,-31,0,38,0,82,61.8,0,76,16,11,,,NA,824.6,0,6102857,,
1986-01,GORE BAY A,45.883,-82.567,ON,-10.1,0,NA,4.6,0,-28,0,61.6,0,NA,35,0,NA,21,9,,,NA,870.1,0,6092925,,
1986-01,GORMLEY ARDENLEE,43.867,-79.383,ON,-6.6,0,NA,6,0,-25.5,0,19.6,0,NA,34.4,0,NA,,9,,,NA,762.1,0,6152953,,
1986-01,GRAND VALLEY WPCP,43.883,-80.333,ON,-7.9,0,NA,4,0,-30.5,0,24,0,NA,39.4,0,NA,,13,,,NA,804,0,6142991,,
1986-01,GRAVENHURST BOOTH,44.917,-79.4,ON,-9.4,0,NA,8,0,-34,0,65,0,NA,65,4,NA,35,14,,,NA,848,0,611C001,,
1986-01,GREENWOOD MTRCA,43.9,-79.067,ON,,,NA,,,,,15.8,0,NA,31.8,0,NA,,5,,,NA,,,6153020,,
1986-01,GUELPH ARBORETUM,43.55,-80.217,ON,-6.5,0,NA,6,0,-29,0,31.4,0,NA,43.3,0,NA,6,11,79.6,0,NA,759.1,0,6143069,,
1986-01,HAGERSVILLE,42.967,-80.067,ON,-4.8,0,-0.3,7,0,-22,0,17,0,67,36.2,0,61,4,12,,,NA,708.3,0,6133120,,
1986-01,HALIBURTON A,45,-78.583,ON,-10.2,0,NA,5,0,-33,0,52.5,0,NA,66.8,0,NA,45,18,,,NA,875.5,0,6163156,,
1986-01,HAMILTON A,43.167,-79.933,ON,-5.3,0,0.2,7.9,0,-22.5,0,24.6,0,60,35.4,0,55,5,9,,,NA,723.2,0,6153194,,
1986-01,HAMILTON MUNICIPAL LAB,43.25,-79.767,ON,-3.2,0,NA,10,0,-17.5,0,7.4,0,NA,32.2,0,NA,3,7,,,NA,657.8,0,6153290,,
1986-01,HAMILTON PSYCH HOSPITAL,43.233,-79.9,ON,,,NA,,,-21,1,8,0,NA,32.2,0,NA,,6,,,NA,,,6153298,,
1986-01,HAMILTON RBG,43.283,-79.883,ON,-4.3,0,0.4,9.2,0,-20.1,0,13.6,0,42,33.2,0,58,2,8,96.6,0,111,690.3,0,6153300,,
1986-01,HANOVER,44.117,-81,ON,-6.9,0,-0.1,6,0,-28,0,65,0,79,83.5,0,76,,20,,,NA,771.2,0,6113329,,
1986-01,HAROLD WILDWOOD,44.383,-77.55,ON,-8.1,0,NA,6.5,0,-29,0,29.4,0,NA,65.4,0,NA,12,12,,,NA,808.8,0,6153357,,
1986-01,HARROW CDA,42.033,-82.9,ON,-4.4,0,NA,8,0,-20.5,0,15.8,0,NA,22.6,0,NA,,9,115.5,0,NA,695.1,0,6133360,,
1986-01,HARTINGTON IHD,44.433,-76.7,ON,-8.1,0,0.3,7,0,-26,0,28.2,0,66,55.6,0,74,10,14,,,NA,807.6,0,6103367,,
1986-01,HEART LAKE,43.733,-79.783,ON,,,NA,,,,,9.8,0,NA,21.8,0,NA,,5,,,NA,,,6153410,,
1986-01,HEMLO BATTLE MOUNTAIN,48.7,-85.883,ON,-15.7,0,NA,2,0,-41,0,36,0,NA,36,0,NA,86,10,,,NA,1043.3,0,6043452,,
1986-01,HIGH FALLS,47.917,-84.717,ON,-13.8,0,NA,3,0,-38.5,0,61,0,NA,61.6,0,NA,,16,,,NA,984.8,0,6053463,,
1986-01,HILLSBURGH,43.767,-80.167,ON,-6.9,4,NA,5,4,-27,4,12.4,0,NA,21.7,0,NA,,7,,,NA,673.5,0,6143465,,
1986-01,HONEY HBR BEAUSOLEIL,44.85,-79.867,ON,-8.2,2,NA,8,2,-30,1,66.4,3,NA,74,3,NA,55,13,0,30.95833333,NA,758.8,0,6113490,,
1986-01,HORNBY TRAFALGAR TS,43.533,-79.733,ON,,,NA,,,,,10.4,0,NA,24.8,0,NA,,5,,,NA,,,6153552,,
1986-01,HORNEPAYNE,49.233,-84.8,ON,-17.4,0,NA,-1,0,-36,0,37.4,0,NA,37.4,0,NA,,8,,,NA,1097.7,0,6053570,,
1986-01,HUNTSVILLE WPCP,45.35,-79.167,ON,-11.6,2,-1.3,7,1,-33,1,102.4,5,NA,109.6,6,NA,,13,,,NA,857.4,0,6113663,,
1986-01,HURON PARK,43.317,-81.5,ON,-5.5,0,NA,8.5,0,-24,0,62,0,NA,75.2,0,NA,,16,,,NA,728.5,0,6123672,,
1986-01,IGNACE TCPL 58,49.483,-92,ON,-14.2,2,NA,4,1,-36,1,6,7,NA,6,7,NA,,1,,,NA,932.4,0,6033697,,
1986-01,ILDERTON BEAR CREEK,43.05,-81.433,ON,-5.7,0,-0.1,6,0,-23,0,57.4,0,126,68.8,0,93,5,14,,,NA,734.7,0,6143722,,
1986-01,IROQUOIS FALLS,48.75,-80.667,ON,-18.7,0,NA,3,0,-36,0,24.6,0,NA,24.6,0,NA,,8,,,NA,1138.9,0,6073810,,
1986-01,ISLAND FALLS,49.583,-81.383,ON,-19.9,0,-0.5,1.5,0,-40.5,0,76.6,0,135,76.6,0,134,73,11,,,NA,1174.5,0,6073840,,
1986-01,JANETVILLE,44.217,-78.633,ON,-8.1,0,-0.5,6,0,-27,0,23,0,49,60,0,83,12,12,,,NA,810.6,0,6153853,,
1986-01,KAPUSKASING A,49.414,-82.468,ON,-19.1,0,-1.2,1.8,0,-37.3,0,45.6,0,82,40.6,0,84,84,8,,,NA,1150.5,0,6073975,,
1986-01,KAPUSKASING CDA,49.4,-82.433,ON,-19.4,0,-0.8,2,0,-39.5,0,33.6,0,63,43.8,0,86,54,11,84.3,0,108,1158,0,6073960,,
1986-01,KATRINE DOE LAKE,45.533,-79.4,ON,,,NA,,,,,91.4,0,NA,111.6,0,NA,58,21,,,NA,,,6114006,,
1986-01,KEMPTVILLE,45,-75.633,ON,-8.9,0,1.1,5.5,0,-26,0,21.3,0,52,35.1,0,55,,9,94.2,0,96,833.9,0,6104025,,
1986-01,KENORA A,49.79,-94.365,ON,-13.9,0,2.1,7.4,0,-33.5,0,22.6,0,79,20,0,78,39,7,,,NA,987.8,0,6034075,,
1986-01,KENORA TCPL 49,49.783,-94.483,ON,-14.1,0,NA,8,0,-37,0,10.6,5,NA,10.6,5,NA,,3,,,NA,995.8,0,6034077,,
1986-01,KING SMOKE TREE,44.017,-79.517,ON,-7.8,0,-0.4,5,0,-25,0,16,0,52,31,0,60,,9,,,NA,798.6,0,6154142,,
1986-01,KINGSTON A,44.219,-76.597,ON,-7.5,0,NA,7.9,0,-24.8,0,32.6,0,NA,54.2,0,NA,12,8,95.4,0,NA,789,0,6104146,,
1986-01,KINGSTON PUMPING STATION,44.233,-76.483,ON,-7,0,0,7.5,0,-25,0,43.6,0,88,63.3,0,77,,14,,,NA,774.6,0,6104175,,
1986-01,KINGSVILLE MOE,42.05,-82.683,ON,-4.4,0,-0.7,7,0,-18,0,25.2,0,89,34,0,56,,12,,,NA,693.3,0,6134190,,
1986-01,KIRKLAND LAKE,48.15,-80,ON,-17.2,0,NA,4,0,-38,0,45.4,0,NA,45.4,0,NA,,12,,,NA,1090.3,0,6074209,,
1986-01,LAKE TRAVERSE,45.95,-78.067,ON,-11.7,0,NA,7,0,-33,0,47.2,0,NA,65.6,0,NA,11,14,,,NA,920.6,0,6084307,,
1986-01,LAKEVIEW MOE,43.567,-79.567,ON,-3.2,0,NA,8,0,-19,0,6,0,NA,28.4,0,NA,,4,,,NA,656.4,0,6154310,,
1986-01,LANSDOWNE HOUSE,52.233,-87.883,ON,-21.8,0,NA,-2.5,0,-36.9,0,24.2,0,NA,22.6,0,NA,33,7,,,NA,1235.1,0,6014350,,
1986-01,LESKARD,44.017,-78.65,ON,,,NA,,,,,34.2,0,NA,34.2,0,NA,,11,,,NA,,,6154410,,
1986-01,LINDSAY FILTRATION PLANT,44.35,-78.733,ON,-8.1,0,NA,5,0,-29.5,0,46,0,NA,63.6,0,NA,7,14,,,NA,809.1,0,6164432,,
